2015,2016,2017,2018,2019,2020,2021,2022,2023,company,image
6.28,6.72,6.44,6.69,7.16,8.37,8.51,8.32,8.01,Mercedes-Benz,./data/mercedes-logo.png
5.67,5.72,5.16,4.56,4.71,5.18,5.25,5.59,5.87,Audi,./data/audi-logo.png
7.04,7.23,7.06,7.23,7.07,7.64,8.07,8.66,8.49,BMW,./data/bmw-logo.png
6.05,6.15,6.42,6.69,7.12,8.6,8.89,9.15,9.15,Toyota,./data/toyota-logo.png
12.0,11.4,11.0,12.5,10.46,30.0,22.98,11.3,11.46,Volkswagen,./data/volkswagen-logo.png
