category,2015,2016,2017,2018,2019,2020,2021,2022,2023
Internal Combustion Engine,1875721,1974079,1949087,1985026,2039633,1838659,1925997,1727736,1748718
Hybrid,11953,8784,104414,105171,86947,175000,184793,200945,173878
Electric Vehicles,17560,20496,34782,34829,42249,28162,103000,172008,330197
