brand,2015,2016,2017,2018,2019,2020,2021,2022,2023
audi,269047,289617,283196,255300,267195,213934,181877,213410,246880
bmw,248565,262083,261864,265051,279243,240968,222481,209722,233160
mercedes,286883,311286,326188,319163,339185,303185,225392,243999,277352
toyota,65939,71783,81086,83930,84498,77176,71890,78366,75199
volkswagen,685669,656025,634270,643518,667518,525612,489962,480967,519089
