uuid,name,brand,street,house_number,post_code,city,latitude,longitude
9ca12721-82b0-43f2-aa58-1bd697d741e0,Aral Tankstelle,ARAL,Schumacherring,110,87437,Kempten,47.7334671,10.3253489
90d20149-1047-43d3-9b80-4c6f7fd22499,Aral Tankstelle,ARAL,Bremer Straße,300,21077,Hamburg,53.4385948,9.936119
23550389-c41c-43d1-9f34-a91270c59530,"Aral Tankstelle, BAT DANNSTADT OST",ARAL,A,61,67105,Schifferstadt,49.4092636,8.341517
48147a20-2353-4f30-9667-594f99907bd6,TotalEnergies Waltershausen,TotalEnergies,Gothaer Str. ,9,99880,Waltershausen,50.901788,10.56649
1982c2d7-e665-43e5-9578-594bbce00f40,Esso Tankstelle,ESSO,ADAM-HOERBER-STR. 38, ,91541,ROTHENBURG,49.378638,10.187171
199baa98-e5db-493c-bc1c-5ddacc0cc720,Esso Tankstelle,ESSO,BRAEUCKENSTR. 81, ,58511,LUEDENSCHEID,51.216887,7.65296
19a36bac-ea1e-42b2-b7cd-c9f0fa8d0bd1,Esso Tankstelle,ESSO,WASSERBURGER LANDSTR. 292, ,81827,MUENCHEN,48.11079725,11.71430291
910a8ae4-6c20-40f8-9d74-b014b84c2856,Aral Tankstelle,ARAL,Frankfurter Landstr.,257,64291,Darmstadt,49.9181938,8.654759
912532ac-b029-420d-9314-3722e47bfb40,Aral Tankstelle,ARAL,Remsstraße,10,73525,Schwäbisch Gmünd,48.8027954,9.797567
19a63af8-7a51-434f-b16e-162b8785a562,AVIA Willert,AVIA,Bahnhofstraße,102,40883,Ratingen,51.33346,6.90406
91360525-5403-4bf9-a1b5-a8761be6f18f,Esso Tankstelle,ESSO,LEIPZIGER STR. 2 E, ,01097,DRESDEN,51.065679,13.73485
914964bb-09a2-4bfe-a15a-a0a622011f9e,Aral Tankstelle,ARAL,Weißenfelser Straße,98,06712,Zeitz,51.0693626,12.1219168
839b3753-1bd3-4eb8-bc0f-26fe6a33f356,Shell Berlin Bundesallee 200,Shell,Bundesallee,200,10717,Berlin,52.492936,13.331354
