category,2015,2016,2017,2018,2019,2020,2021,2022,2023
revenue_(euro_billion),72.38,75.35,79.22,78.36,84.69,75.04,88.53,98.81,107.87
revenue_growth_(%),8.7,4.1,5.1,-1.1,8.09,-11.4,18.0,11.6,9.2
