category,2015,2016,2017,2018,2019,2020,2021,2022,2023
revenue_(euro_billion),83.81,89.28,94.7,93.1,93.89,98.58,96.71,111.6,112.76
revenue_growth_(%),14.0,7.0,6.0,-1.0,1.0,4.99,-1.89,15.4,1.0
