category,2015,2016,2017,2018,2019,2020,2021,2022,2023
revenue_(euro_billion),48.82,50.3,51.4,50.2,51.5,49.96,53.06,53.96,63.48
revenue_growth_(%),8.06,3.03,2.18,-2.33,2.59,-2.97,6.2,1.7,15.01
