Market,2015,2016,2017,2018,2019,2020,2021,2022,2023
global_market_share,13.19,14.35,14.15,15.03,15.98,17.68,19.96,18.56,16.23
us_market_share,15.61,12.11,12.38,14.11,12.27,14.47,15.44,15.17,15.81
europe_market_share,6.05,6.15,6.42,6.69,7.12,8.6,8.89,9.15,9.15
