brand,2015,2016,2017,2018,2019,2020,2021,2022,2023
audi,0,0,115,982,3579,8356,14937,28322,30596
bmw,0,0,2791,3792,9127,8700,16535,23470,40420
mercedes,0,0,544,85,696,4494,12278,25182,36703
toyota,0,0,0,0,0,0,108,840,3352
volkswagen,0,0,4105,6799,8201,46193,72110,63206,70628
