category,2015,2016,2017,2018,2019,2020,2021,2022,2023
revenue_(euro_billion),201.93,236.04,217.92,225.3,247.55,245.65,209.54,227.04,246.98
revenue_growth_(%),6.11,16.89,-7.68,3.39,9.88,-0.76,-14.5,8.3,8.7
