category,2015,2016,2017,2018,2019,2020,2021,2022,2023
Internal Combustion Engine,7760000,7560000,7430000,7370000,6950000,6530000,6280000,6870000,7858000
Hybrid,1200000,1400000,1520000,1600000,2000000,2150000,2600000,2600000,2665000
Electric Vehicles,10000,10000,10000,10000,10000,15000,20000,27000,21000
