Market,2015,2016,2017,2018,2019,2020,2021,2022,2023
global_market_share,2.39,2.3,2.56,2.57,2.75,3.14,3.2,2.86,2.9
us_market_share,1.14,1.19,1.32,1.3,1.32,1.28,1.3,1.34,1.52
europe_market_share,5.67,5.72,5.16,4.56,4.71,5.18,5.25,5.59,5.87
