Market,2015,2016,2017,2018,2019,2020,2021,2022,2023
global_market_share,8.53,8.46,8.44,8.79,9.38,9.83,9.32,8.14,7.5
us_market_share,2.01,1.84,1.98,2.12,2.14,2.2,3.5,2.37,2.48
europe_market_share,12.0,11.4,11.0,12.5,10.46,30.0,22.98,11.3,11.46
