category,2015,2016,2017,2018,2019,2020,2021,2022,2023
revenue_(euro_billion),106.2,105.65,79.98,84.6,88.4,71.1,76.1,73.77,86.4
revenue_growth_(%),6.5,-0.6,-24.3,6.8,4.5,-19.6,7.1,-3.06,17.1
