Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Kirchplatz,0,49497,Mettingen,Nordrhein-Westfalen,,,2016
Bruchsaler Straße,32,75053,Gondelsheim,Baden-Württemberg,49.061302,8.657436,2016
Bruchsaler Straße,81,75053,Gondelsheim,Baden-Württemberg,49.06693,8.657123,2016
Bahnhofstraße,0,75059,Zaisenhausen,Baden-Württemberg,49.105237,8.817233,2016
Raststätte Samerberg Nord,An der A8,83101,Rohrdorf,Bayern,47.802832,12.17879,2016
Am Grünen Weg,0,90766,Fürth,Bayern,49.483508,10.947602,2016
Königin-Luise-Str.,40,14195,Berlin,Berlin,52.457986,13.291687,2016
Heinrich v. Kleist Str.,0,65549,Limburg,Hessen,,,2016
Holstenhofweg,85,22043,Hamburg,Hamburg,53.56851,10.10619,2016
Marktplatz,0,2943,Weißwasser,Sachsen,51.505562,14.645778,2016
Brüner Straße,9,46499,Hamminkeln,Nordrhein-Westfalen,51.729817,6.59315,2016
Gestade,18,54470,Bernkastel-Kues,Rheinland-Pfalz,49.914073,7.074167,2016
Gorch-Fock-Weg,11,26548,Norderney,Niedersachsen,53.699994,7.158187,2016
Winnberger Str.,19,92369,Sengenthal,Bayern,49.23381,11.461251,2016
Markgrafenstraße,24,91413,Neustadt an der Aisch,Bayern,49.58364,10.609858,2016
Schnizzersweg,10,91413,Neustadt an der Aisch,Bayern,49.582323,10.606465,2016
Edwin-Reis-Str.,5,68229,Mannheim,Baden-Württemberg,49.441883,8.572976,2016
Bornaische Straße,108,4277,Leipzig,Sachsen,51.301227,12.384566,2016
Leimbachstr.,269,57074,Siegen,Nordrhein-Westfalen,,,2016
Raststätte Fränkische Schweiz-Pegnitz West,0,91257,Pegnitz,Bayern,,,2016
Am Messeplatz,7,25813,Husum,Schleswig-Holstein,54.4944,9.08853,2016
Nerotalstraße,900Z,55124,Mainz,Rheinland-Pfalz,50.002972,8.209787,2016
Reichsstraße,1,4105,Leipzig,Sachsen,51.340508,12.376691,2016
Schlossplatz,1,96135,Stegaurach,Bayern,49.863622,10.84351,2016
Baumwipfelpfad,0,96157,Ebrach,Bayern,49.848309,10.466983,2016
Baumwipfelpfad,0,96157,Ebrach,Bayern,49.848309,10.466983,2016
Hauptstrasse,29 a,96170,Lisberg,Bayern,49.8833,10.7268,2016
Musterbahn,19,23552,Lübeck,Schleswig-Holstein,53.860044,10.685351,2016
Kanalstraße,1,23552,Lübeck,Schleswig-Holstein,53.873147,10.693202,2016
Nehringstr.,4,14059,Berlin,Berlin,52.51649,13.293968,2016
Bahnhofstr.,48,48249,Dülmen,Nordrhein-Westfalen,51.8278,7.294899,2016
Rathausstr.,49,38440,Wolfsburg,Niedersachsen,52.419855,10.787317,2016
Tegelweg,25,33102,Paderborn,Nordrhein-Westfalen,51.725974,8.757092,2016
Hilpoltsteinerstraße,0,90584,Allersberg,Bayern,49.250997,11.232961,2016
Hauptstraße,42,64658,Fürth,Hessen,49.649207,8.777566,2016
Breite Straße,0,2763,Zittau,Sachsen,50.894883,14.804933,2016
Große Langgasse,11,55116,Mainz,Rheinland-Pfalz,50.000024,8.266562,2016
Neumarkt,0,57072,Siegen,Nordrhein-Westfalen,50.875179,8.026188,2016
Koblenzerstraße,151,57072,Siegen,Nordrhein-Westfalen,50.867867,8.008983,2016
Am Messeplatz,7,25813,Husum,Schleswig-Holstein,54.4944,9.08853,2016
Rasthofweg,1,77815,Bühl,Baden-Württemberg,48.753434,8.131493,2016
Knobelsdorffstr.,53,14059,Berlin,Berlin,52.513068,13.288812,2016
Mathildenstraße,6,90763,Fürth,Bayern,49.474124,10.987906,2016
Hauptstraße,49,92339,Beilngries,Bayern,,,2016
Rathausplatz,1,85135,Titting,Bayern,48.997626,11.207894,2016
Ollingerstr.,10,83620,Feldkirchen-Westerham,Bayern,,,2016
Forststraße,1,90530,Wendelstein,Bayern,49.356572,11.140957,2016
In der Gibitzen,29,90530,Wendelstein,Bayern,49.346601,11.157707,2016
Dorfstraße,0,91189,Rohr-Gustenfelden,Bayern,49.332784,10.974737,2016
Georg Schumann Straße,2,4105,Leipzig,Sachsen,51.357459,12.37707,2016
Lortzingstraße,3,4105,Leipzig,Sachsen,51.344578,12.370884,2016
Nordplatz,3,4105,Leipzig,Sachsen,51.351707,12.373175,2016
Haus des Gastes,0,79862,Höchenschwand,Baden-Württemberg,47.737131,8.166402,2016
Hüsli,1a,79865,Grafenhausen,Baden-Württemberg,47.793324,8.246839,2016
Tullastraße,0,76689,Karlsdorf,Thüringen,49.136046,8.545014,2016
Bahnhofstraße,0,76689,Karlsdorf,Thüringen,49.142935,8.547605,2016
Adenauerstr.,59,33184,Altenbeken,Nordrhein-Westfalen,51.7634,8.94167,2016
Badstraße,1,91161,Hilpoltstein,Bayern,49.191379,11.194075,2016
Nonnengasse,2,48249,Dülmen,Nordrhein-Westfalen,51.829745,7.279371,2016
Nordlandwehr,99,48249,Dülmen,Nordrhein-Westfalen,51.84421,7.2739,2016
Lohwall,10,48249,Dülmen,Nordrhein-Westfalen,51.831822,7.275478,2016
Suarezstr.,30,14057,Berlin,Berlin,52.503966,13.291348,2016
Talstraße,6,91161,Hilpoltstein,Bayern,49.189123,11.188468,2016
Arminiusstraße,31,33175,Bad Lippspringe,Nordrhein-Westfalen,51.78446,8.81439,2016
Mulvanystraße,1,45879,Gelsenkirchen,Nordrhein-Westfalen,51.5127,7.0929,2016
Seilersbahn,0,76646,Bruchsal,Baden-Württemberg,49.123303,8.601246,2016
Franz-Mayer-Str.,1,93053,Regensburg,Bayern,49.002016,12.100213,2016
Am Biopark,10,93053,Regensburg,Bayern,48.991871,12.090766,2016
Bahnhofstraße,2,26892,Dörpen,Niedersachsen,52.96834,7.34914,2016
Kirschenpfad,2,53913,Swisttal,Nordrhein-Westfalen,50.651284,6.880498,2016
Amtsstr,5,31552,Rodenberg,Niedersachsen,52.311819,9.356297,2016
Bautzener Str.,2,2742,Neusalza-Spremberg,Sachsen,51.037525,14.530535,2016
Wurster Straße,49,27580,Bremerhaven,Bremen,53.57412,8.592478,2016
Am Hagen,10,34508,Willingen,Hessen,51.29058,8.6109,2016
Im Gewerbepark,57,93059,Regensburg,Bayern,49.030305,12.128707,2016
Im Gewerbepark,45,93059,Regensburg,Bayern,49.030439,12.130267,2016
Walhalla-Allee,22,93059,Regensburg,Bayern,49.026164,12.132058,2016
Q6,0,68161,Mannheim,Baden-Württemberg,49.486403,8.472093,2016
Q6,0,68161,Mannheim,Baden-Württemberg,49.486403,8.472093,2016
Schwarzwaldstr.,5-8,74889,Sinsheim,Baden-Württemberg,49.240926,8.879562,2016
Waldtorstrasse,1,79761,Waldshut-Tiengen,Baden-Württemberg,47.623954,8.212864,2016
Sulzerring,6,79761,Waldshut-Tiengen,Baden-Württemberg,47.634648,8.277262,2016
Kaiserstrasse,110,79761,Waldshut-Tiengen,Baden-Württemberg,47.622712,8.204805,2016
Unterislinger Weg,53,93053,Regensburg,Bayern,48.991304,12.112408,2016
Eschenallee,1,14050,Berlin,Berlin,52.519745,13.269472,2016
Luitpoldstraße,5,85072,Eichstätt,Bayern,,,2016
Museumsstraße,0,38229,Salzgitter,Niedersachsen,52.136,10.337,2016
Im Hagen,0,44532,Lünen,Nordrhein-Westfalen,51.615222,7.520917,2016
Kiss & Ride,0,90542,Eckental - Forth,Bayern,49.591577,11.220852,2016
Bahnhofstraße,0,90562,Kalchreuth,Bayern,49.55837,11.139564,2016
Thiestraße,1,38226,Salzgitter,Niedersachsen,52.152,10.329,2016
Kampstraße,37,38226,Salzgitter,Niedersachsen,52.15,10.32,2016
Gewerbestraße,1,39291,Möckern,Sachsen-Anhalt,52.236873,12.060001,2016
Weichser Weg,3,93059,Regensburg,Bayern,49.026563,12.115229,2016
Q6,0,68161,Mannheim,Baden-Württemberg,49.486403,8.472093,2016
Q6,0,68161,Mannheim,Baden-Württemberg,49.486403,8.472093,2016
Autobahnraststätte Hohenlohe Nord,0,74632,Neuenstein/Württemberg,Baden-Württemberg,49.207091,9.639063,2016
Franz-Josef-Strauß-Allee,21,93053,Regensburg,Bayern,48.98936,12.085735,2016
Am Langfeld,20,97633,Sulzfeld,Bayern,50.258471,10.399396,2016
Ostpreußenweg,5,34576,Homberg,Hessen,51.03408,9.39431,2016
Am Plänterwald,2,12435,Berlin,Berlin,52.480171,13.475576,2016
Bahnhofstraße,2,79761,Waldshut-Tiengen,Baden-Württemberg,47.63539,8.27241,2016
Industriestraße,1,79761,Waldshut-Tiengen,Baden-Württemberg,47.625491,8.263227,2016
Friedrich-Wilhelm-Straße,2,37269,Eschwege,Hessen,51.19104,10.04527,2016
Wiesenstraße,9,37269,Eschwege,Hessen,51.18604,10.06286,2016
Marktstraße,6,25813,Husum,Schleswig-Holstein,54.4841,9.04709,2016
Salzdahlumer Str.,74,38126,Barsinghausen,Niedersachsen,52.24,10.53,2016
Waldweg,1,27356,Rotenburg a.d. Wümme,Niedersachsen,53.120576,9.422026,2016
Hauptstraße,25,86836,Obermeitingen,Bayern,48.14708,10.80572,2016
Hinter dem Deich,9,37213,Witzenhausen,Hessen,51.34468,9.85428,2016
Peter-Thumb-Strasse,1,79761,Waldshut-Tiengen,Baden-Württemberg,47.634273,8.274138,2016
Bismarckstrasse,7,79761,Waldshut-Tiengen,Baden-Württemberg,47.621069,8.218004,2016
Franz-Josef-Strauß-Allee,21,93053,Regensburg,Bayern,48.98936,12.085735,2016
Platter Straße,2,65193,Wiesbaden,Hessen,,,2016
Kaiserstraße,0,76646,Bruchsal,Baden-Württemberg,49.126519,8.594346,2016
Badener Straße,0,76646,Bruchsal-Heidelsheim,Baden-Württemberg,49.100332,8.644936,2016
Joß-Fritz-Straße,0,76646,Bruchsal-Untergrombach,Baden-Württemberg,49.088775,8.547441,2016
Luisenstraße,0,76646,Bruchsal,Baden-Württemberg,49.125035,8.593608,2016
Campus,1,76646,Bruchsal,Baden-Württemberg,49.116932,8.59103,2016
Am Alten Güterbahnhof,9,76646,Bruchsal,Baden-Württemberg,49.124218,8.588072,2016
Schwetzingerstraße,7,76646,Bruchsal,Baden-Württemberg,49.134853,8.589586,2016
Rendsburger Str.,54-56,24340,Eckernförde,Schleswig-Holstein,,,2016
Klammenstraße,0,76669,Bad Schönborn-Langenbrücken,Baden-Württemberg,49.201953,8.645842,2016
Monestraße,0,76669,Bad Schönborn-Mingolsheim,Baden-Württemberg,49.220512,8.65933,2016
Tannenhof,1,24635,Daldorf,Schleswig-Holstein,,,2016
Munscheidstraße,14,45886,Gelsenkirchen,Nordrhein-Westfalen,51.4992,7.1083,2016
Bleckstraße,47,45889,Gelsenkirchen,Nordrhein-Westfalen,51.5423,7.1102,2016
Autobahnraststätte Hohenlohe Süd,0,74632,Neuenstein/Württemberg,Baden-Württemberg,49.205286,9.640005,2016
