type,2015,2016,2017,2018,2019,2020,2021,2022,2023
diesel,-12.8,-7.69,7.41,11.21,-2.33,-11.9,24.32,40.58,-9.79
e5,-10.75,-3.79,6.3,5.93,-2.1,-10.0,22.22,21.43,-4.81
e10,-7.41,-6.92,4.96,6.3,-2.22,-10.61,20.34,22.54,-5.17
electricity,13.33,0.0,12.5,11.11,10.0,0.0,9.09,16.67,0.0
