Market,2015,2016,2017,2018,2019,2020,2021,2022,2023
global_market_share,3.31,3.34,3.36,3.53,3.78,4.31,4.79,4.25,3.91
us_market_share,2.33,2.09,2.06,2.06,2.21,2.1,2.23,2.5,2.24
europe_market_share,7.04,7.23,7.06,7.23,7.07,7.64,8.07,8.66,8.49
