Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Äußerer Krautgartenweg,6,89143,Blaubeuren,Baden-Württemberg,48.408031,9.790154,2018
Boschstr.,6,89134,Blaustein,Baden-Württemberg,48.416998,9.918955,2018
Flurstück,313,89129,Langenau/Seligweiler,Baden-Württemberg,48.456817,10.029649,2018
Karlstr.,45,89129,Langenau,Baden-Württemberg,48.500374,10.117366,2018
Brühlstr.,21,89155,Erbach,Baden-Württemberg,48.328599,9.881436,2018
Marktplatz,14,89150,Laichingen,Baden-Württemberg,48.48938,9.68649,2018
Alte Bundesstr.,0,76846,Hauenstein,Rheinland-Pfalz,49.200093,7.836669,2018
Hauptstrasse,106-110,67714,Waldfischbach,Rheinland-Pfalz,49.283635,7.648418,2018
Warnemünder Str.,7,14199,Berlin,Berlin,52.47361,13.290291,2018
Bahnhofstr.,7,66976,Rodalben,Rheinland-Pfalz,49.238885,7.633742,2018
Hauptstr.,3,66500,Hornbach,Rheinland-Pfalz,49.187444,7.370269,2018
Pacelliallee,8,14195,Berlin,Berlin,52.468436,13.28954,2018
Mecklenburgische Str.,56,14197,Berlin,Berlin,52.475004,13.303121,2018
Schlossplatz,0,99510,Apolda,Thüringen,,,2018
Adolf-Aber-Straße,0,99510,Apolda,Thüringen,,,2018
Am Burgplatz,5,99510,Kapellendorf,Thüringen,50.97441,11.46616,2018
Käfertaler Straße,15,68167,Mannheim,Baden-Württemberg,49.495841,8.476753,2018
Theodor-Kutzer-Ufer,1,68167,Mannheim,Baden-Württemberg,49.489758,8.491708,2018
Langeoogweg,7,45145,Essen,Nordrhein-Westfalen,51.42157,7.055707,2018
Juistweg,0,45145,Essen,Nordrhein-Westfalen,51.42471,7.033187,2018
Wössinger Str.,26,75045,Walzbachtal,Baden-Württemberg,49.011056,8.611127,2018
Schillerstr.,9,75038,Oberderdingen,Baden-Württemberg,49.063583,8.797662,2018
Brettenerstr.,14,75038,Oberderdingen,Baden-Württemberg,49.061652,8.801387,2018
Hägerstraße,0,37574,Einbeck,Niedersachsen,51.815575,9.864536,2018
Hägerstraße,0,37574,Einbeck,Niedersachsen,51.81555,9.864525,2018
Moritzburger Straße,2,1640,Coswig,Sachsen,51.129769,13.581259,2018
Gebweilerstraße,13,68229,Mannheim,Baden-Württemberg,49.437862,8.571611,2018
Durlacherstr.,82,68219,Mannheim,Baden-Württemberg,49.43358,8.52883,2018
Bornaische Straße,55,4277,Leipzig,Sachsen,51.305046,12.382487,2018
Bergstraße Ost,0,64625,Bensheim,Hessen,,,2018
Oldenburger Straße,238,26203,Wardenburg,Niedersachsen,53.063488,8.195597,2018
Alleestraße,81 y,1591,Riesa,Sachsen,51.320246,13.262848,2018
Helenenstraße,66,45143,Essen,Nordrhein-Westfalen,51.464059,6.983786,2018
Berthold-Beitz-Boulevard,500,45141,Essen,Nordrhein-Westfalen,51.47394,6.999838,2018
Hertzstr.,31,76275,Ettlingen,Baden-Württemberg,48.93823,8.38169,2018
Siemensstraße,9,76275,Ettlingen,Baden-Württemberg,48.939363,8.378597,2018
Scharnhorstplatz,9,37154,Northeim,Niedersachsen,51.715694,10.001482,2018
Scharnhorstplatz,6,37154,Northeim,Niedersachsen,51.716836,10.001957,2018
Scharnhorstplatz,2,37154,Northeim,Niedersachsen,51.715236,10.000836,2018
Selauer Straße,91 b,6667,Weißenfels,Sachsen-Anhalt,,,2018
Heinrich Hertz Straße,4,6667,Weißenfels,Sachsen-Anhalt,,,2018
Priener Straße,6,83253,Rimsting,Bayern,,,2018
Obere Bachstraße,1,68753,Waghäusel,Baden-Württemberg,49.242829,8.544855,2018
Güterstr.,22,45219,Essen-Kettwig,Nordrhein-Westfalen,51.360903,6.946895,2018
Schützenstraße,1,6667,Weißenfels,Sachsen-Anhalt,,,2018
Breitbrunner Str.,8,83257,Gstadt a. Chiemsee,Bayern,,,2018
Kirchplatz,10,83257,Gstadt a. Chiemsee,Bayern,,,2018
Gstadter Str.,2,83254,Breitbrunn,Bayern,,,2018
Werdener Str.,52,45219,Essen,Nordrhein-Westfalen,51.3571,6.938729,2018
Middelkerkerstraße,0,76275,Ettlingen,Baden-Württemberg,48.937277,8.399829,2018
Sibyllastraße,0,76275,Ettlingen,Baden-Württemberg,48.939652,8.405896,2018
Mühlenstrasse,27,76275,Ettlingen,Baden-Württemberg,48.942212,8.405723,2018
Autobahnraststätte Lorsch West,0,64653,Lorsch,Hessen,49.643074,8.551977,2018
Nordring,1,33129,Delbrück,Nordrhein-Westfalen,51.76949,8.55451,2018
Detmarstraße,15,33142,Büren,Nordrhein-Westfalen,51.55275,8.56019,2018
Geseker Straße,45,33154,Salzkotten,Nordrhein-Westfalen,51.666739,8.591418,2018
Marktstraße,0,33154,Salzkotten,Nordrhein-Westfalen,51.67111,8.60491,2018
Verdener Landstraße,2,31623,drakenburg,Niedersachsen,,,2018
Phillipsburgerstraße,1,68753,Wiesental,Baden-Württemberg,49.225891,8.517717,2018
Max-Planck-Str.,1,74677,Dörzbach,Baden-Württemberg,49.38337,9.69581,2018
Marktplatz,2,74677,Dörzbach,Baden-Württemberg,49.383275,9.708368,2018
Max-Planck-Str.,1,74677,Dörzbach,Baden-Württemberg,49.38337,9.69581,2018
Stedener Feld,14,33104,Paderborn,Nordrhein-Westfalen,51.730265,8.722771,2018
Ahornallee,20,33106,Paderborn,Nordrhein-Westfalen,51.726233,8.714426,2018
Hauptstraße,6,37589,Kalefeld-Echte,Niedersachsen,51.787912,10.063094,2018
Alkorstraße,10,83512,Wasserburg,Bayern,,,2018
Parkhaus Überfuhrstraße,0,83512,Wasserburg a. Inn,Bayern,,,2018
Auer Straße,25,83075,Bad Feilnbach,Bayern,47.778392,12.000938,2018
Hauptstrasse,4,64668,Zotzenbach,Hessen,49.603584,8.76521,2018
Hertzstr.,31,76275,Ettlingen,Baden-Württemberg,,,2018
In den betten,5,64658,Fürth,Hessen,49.648579,8.778451,2018
RichardWagnerStraße,2729,76275,Ettlingen,Baden-Württemberg,48.924631,8.365972,2018
Am Aussichtsturm,5,83512,Wasserburg a. Inn,Bayern,,,2018
Landwehrstraße,3,83512,Wasserburg a. Inn,Bayern,,,2018
Max-Emanuel-Platz,4,83512,Wasserburg a. Inn,Bayern,,,2018
Staudhamer Feld,5,83512,Wasserburg,Bayern,,,2018
Mühlstraße,20c,7806,Neustadt an der Orla,Thüringen,50.738882,11.744593,2018
Pößnecker Str.,24,7387,Krölpa,Thüringen,50.67759,11.54141,2018
Velberter Straße,2-6,45239,Essen,Nordrhein-Westfalen,,,2018
Bliesstr.,19 a,66453,Gersheim,Saarland,49.146276,7.203519,2018
Am Schlosspark,0,65203,Wiesbaden,Hessen,50.039105,8.236271,2018
Freudenbergstr.,241,65201,Wiesbaden,Hessen,50.0671,8.1812,2018
Erich Kästner Straße,0,76297,Stutensee,Baden-Württemberg,49.065933,8.475947,2018
Heinrich Heine Str.,0,76297,Stutensee,Baden-Württemberg,49.112831,8.50452,2018
Rathausplatz,1,83075,Bad Feilnbach,Bayern,,,2018
Hoyaer Straße,27,31608,Marklohe,Niedersachsen,,,2018
Theodor-Heuss-Anlage,12,68165,Mannheim,Baden-Württemberg,49.478177,8.503436,2018
Schloßstr.,1,33161,Hövelhof,Nordrhein-Westfalen,51.82086,8.65817,2018
Bahnhofstr.,29,7907,Schleiz,Thüringen,50.57982,11.81483,2018
Bahnhofstraße,24,74670,Forchtenberg,Baden-Württemberg,49.289791,9.563036,2018
Am Rheineck,0,65199,Wiesbaden,Hessen,50.07291,8.194626,2018
Bahnhofstraße,17,26209,Hatten-Sandkrug,Niedersachsen,53.05259,8.258066,2018
Delmenhorster Straße,6,27793,Wildeshausen,Niedersachsen,52.902829,8.44446,2018
Rollbühlstraße,64,68309,Mannheim,Baden-Württemberg,49.507281,8.506478,2018
Parsevalstraße,24,68307,Mannheim,Baden-Württemberg,49.548467,8.477724,2018
Domstiftstraße,40,68307,Mannheim,Baden-Württemberg,49.543913,8.454025,2018
Rotherstraße,1b,90530,Wendelstein,Bayern,49.351294,11.154641,2018
Walderinger Straße,80,83071,Stephanskirchen,Bayern,,,2018
Kurparkstraße,2,33175,Bad Lippspringe,Nordrhein-Westfalen,51.78378,8.82214,2018
Coblitzallee,1-9,68163,Mannheim,Baden-Württemberg,49.474778,8.5345,2018
Strasse der Picardie,0,76297,Stutensee,Baden-Württemberg,49.102815,8.48076,2018
Schulstr.,0,76297,Stutensee,Baden-Württemberg,49.066231,8.470181,2018
Meistersingerstr.,44,45307,Essen,Nordrhein-Westfalen,51.45615,7.08407,2018
Korthover Weg,33 Z,45307,Essen,Nordrhein-Westfalen,51.468822,7.085087,2018
Raiffeisenstraße,1,27777,Ganderkesee,Niedersachsen,53.036291,8.543576,2018
An der Talle,21,33102,Paderborn,Nordrhein-Westfalen,51.74774,8.75103,2018
Dorfring,40,27777,Ganderkesee,Niedersachsen,53.078596,8.557344,2018
Grüner Weg,2,27777,Ganderkesee,Niedersachsen,53.035201,8.545105,2018
Astruper Straße,4,26209,Hatten-Sandkrug,Niedersachsen,53.26948,9.730754,2018
Schießplatz,1,7774,Camburg,Thüringen,51.054495,11.709074,2018
Coblitzallee,1-9,68163,Mannheim,Baden-Württemberg,49.474778,8.5345,2018
Johannes-Hoffart-Straße,1b,68163,Mannheim,Baden-Württemberg,49.465569,8.507998,2018
Seckenheimer Landstraße,166,68163,Mannheim,Baden-Württemberg,49.476583,8.520583,2018
Am Diemel,2,21406,Melbeck,Niedersachsen,,,2018
Gewerbestraße,10,21391,Reppenstedt,Niedersachsen,53.24523,10.35058,2018
Norrisstr.,31,91154,Roth,Bayern,,,2018
Hubertusstr.,9,6502,Thale,Sachsen-Anhalt,51.743341,11.031817,2018
Schonnebeckhöfe,0,45309,Essen,Nordrhein-Westfalen,51.48557,7.048216,2018
Parkplatz Am Bruckespan,0,91166,Georgensgmünd,Bayern,49.18831,11.01756,2018
Hermann-Geib-Straße,8a,93053,Regensburg,Bayern,49.008502,12.109752,2018
Johanna-Dachs-Str.,46,93055,Regensburg,Bayern,49.017261,12.118002,2018
Brüsseler Str.,3,49124,Georgsmarienhütte,Niedersachsen,52.22311,8.084421,2018
Im Loh,44,49124,Georgsmarienhütte,Niedersachsen,52.226416,8.012492,2018
Senefelderstraße,16,33100,Paderborn,Nordrhein-Westfalen,51.734999,8.788524,2018
Gerichtsstraße,25,45355,Essen,Nordrhein-Westfalen,51.473088,6.952659,2018
Am Biopark,15-17,93053,Regensburg,Bayern,48.995343,12.098875,2018
Universitätsstraße,80,93053,Regensburg,Bayern,49.000678,12.093926,2018
Jörg-Rathgeb Straße,1,75173,Pforzheim,Baden-Württemberg,48.888668,8.70006,2018
Am Mühlkanal,4,75172,Pforzheim,Baden-Württemberg,48.886249,8.668361,2018
Am Mühlkanal,16,75172,Pforzheim,Baden-Württemberg,48.883241,8.66564,2018
Werner-Seelenbinder-Straße,1,99096,Erfurt,Thüringen,50.957918,11.037035,2018
Darmstädter Straße,25,68647,Biblis,Hessen,49.685204,8.452207,2018
Marktplatz,1,21379,Scharnebek,Niedersachsen,,,2018
Alexanderweg,70-72,27324,Eystrup,Niedersachsen,,,2018
Schlossplatz,2,27318,Hoya,Niedersachsen,,,2018
