Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84131,7.29006,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.8413,7.29008,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84129,7.29008,2020
Osterstetter Straße,14,89129,Langenau,Baden-Württemberg,48.48473,10.061164,2020
Hallenweg,32,89129,Langenau,Baden-Württemberg,48.474798,10.085579,2020
Herwigstraße,21,89129,Langenau,Baden-Württemberg,48.48524,10.028291,2020
Bürgermeister-Müller-Str.,12,85560,Ebersberg,Bayern,48.080646,11.964731,2020
Lindenstraße,253,25524,Itzehoe,Schleswig-Holstein,53.932842,9.483279,2020
Lindenstraße,253,25524,Itzehoe,Schleswig-Holstein,53.932842,9.483279,2020
Max-Planck-Strasse,3-5,78052,Villingen-Schwenningen,Baden-Württemberg,48.078479,8.44937,2020
Klosterstraße,21,86736,Auhausen,Bayern,49.008205,10.618189,2020
Berliner Ring,2,38440,Wolfsburg,Niedersachsen,52.435519,10.746725,2020
Goldenbühltraße,9,78048,Villingen-Schwenningen,Baden-Württemberg,,,2020
Am Forst,2,85560,Ebersberg,Bayern,48.096563,11.961209,2020
Am Priel,6,85560,Ebersberg,Bayern,48.08416,11.965304,2020
Bahnhofsplatz,2,85560,Ebersberg,Bayern,48.075198,11.969741,2020
Fontanestr.,1,14193,Berlin,Berlin,52.486976,13.263712,2020
Hubertusallee,54,14193,Berlin,Berlin,52.484523,13.283326,2020
Caspar-Theyß-Str.,33,14193,Berlin,Berlin,52.49139,13.292882,2020
Podbielskiallee,81,14195,Berlin,Berlin,52.459677,13.302321,2020
Oststr.,1,48301,Nottuln,Nordrhein-Westfalen,51.927221,7.363626,2020
Oststr.,1,48301,Nottuln,Nordrhein-Westfalen,51.927221,7.363626,2020
Stadelner Hauptstraße,96,90765,Fürth,Bayern,49.51319,10.975268,2020
Karl-Bröger-Straße,32,90765,Fürth,Bayern,49.477533,11.014259,2020
Hans-Sachs-Straße,36,90765,Fürth,Bayern,49.512448,10.982765,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84137,7.28997,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84136,7.28998,2020
