Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84135,7.29001,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84134,7.29002,2020
Auf dem Quellberg,2,48249,Dülmen,Nordrhein-Westfalen,51.84133,7.29003,2020
Keplerstraße,16,89129,Langenau,Baden-Württemberg,48.50509,10.128139,2020
Niklasstr.,31,14163,Berlin,Berlin,52.433175,13.226795,2020
Bahnhofstraße,0,76887,Bad Bergzabern,Rheinland-Pfalz,,,2020
Böhämmerweg,2,76887,Bad Bergzabern,Rheinland-Pfalz,,,2020
Friedrich-Ebert-Straße,40,76887,Bad Bergzabern,Rheinland-Pfalz,,,2020
Weinstraße,41,76887,Bad Bergzabern,Rheinland-Pfalz,,,2020
An der Regattastrecke,8,14772,Brandenburg,Brandenburg,52.429863,12.56125,2020
Münstersche Str.,5,14772,Brandenburg,Brandenburg,52.44219,12.52356,2020
Nicolaiplatz,0,14776,Brandenburg,Brandenburg,52.411261,12.550202,2020
Friedensstraße,0,8301,Bad Schlema,Sachsen,,,2020
Pirmasenser Straße,103,66497,Contwig,Rheinland-Pfalz,49.248564,7.446721,2020
Hahnenweiler Str.,2,89160,Dornstadt,Baden-Württemberg,,,2020
Hirschstraße,8,89160,Dornstadt,Baden-Württemberg,,,2020
Werner-Seelenbinder-Str.,52,14770,Brandenburg,Brandenburg,52.42241,12.546832,2020
Upstallstraße,3,14772,Brandenburg an der Havel,Brandenburg,52.430611,12.550501,2020
Breisgauer Str.,7,14129,Berlin,Berlin,52.43845,13.214933,2020
Forckenbeckstr.,96,14199,Berlin,Berlin,52.479241,13.308733,2020
Berkaer Str.,40,14199,Berlin,Berlin,52.476902,13.287843,2020
Häringsgässle,2,89160,Dornstadt-Temmenhausen,Baden-Württemberg,,,2020
Im Steinige,2/1,89173,Lonsee,Baden-Württemberg,,,2020
Bahnhofstraße,21,76855,Annweiler,Rheinland-Pfalz,,,2020
Messplatz,14,76855,Annweiler,Rheinland-Pfalz,,,2020
Wiesenweg,16,14776,Brandenburg,Brandenburg,52.404659,12.546586,2020
Rietzer Straße,19,14776,Brandenburg OT Schmerzke,Brandenburg,52.387969,12.59678,2020
Holtwicker Straße,0,48653,Coesfeld,Nordrhein-Westfalen,51.951171,7.166042,2020
Osterwicker Straße,31,48653,Coesfeld,Nordrhein-Westfalen,51.952012,7.172731,2020
Rekener Straße,0,48653,Coesfeld,Nordrhein-Westfalen,51.942151,7.161943,2020
Holtwicker Straße,1,48653,Coesfeld,Nordrhein-Westfalen,51.9491,7.168019,2020
Bahnweg,0,48653,Coesfeld,Nordrhein-Westfalen,51.93914,7.163201,2020
Davidstraße,0,48653,Coesfeld,Nordrhein-Westfalen,51.43909,7.164534,2020
Königstraße,84-96,23552,Lübeck,Schleswig-Holstein,53.865102,10.686306,2020
Kissinger Str.,16,14199,Berlin,Berlin,52.479021,13.292588,2020
Pichelswerderstr.,6,14597,Berlin,Berlin,52.5299,13.213127,2020
Hauptstr.,11,89160,Dornstadt,Baden-Württemberg,,,2020
Riedweg,0,67487,Sankt Martin,Rheinland-Pfalz,49.298984,8.106857,2020
Muskauer Platz,3,3042,Cottbus,Brandenburg,51.760922,14.347983,2020
Am kleinen Wannsee,5,14109,Berlin,Berlin,52.418925,13.16426,2020
Prager Str.,9-15,14772,Brandenburg,Brandenburg,52.426193,12.528507,2020
Schloßstr.,64,14059,Berlin,Berlin,52.517545,13.296575,2020
Heubnerweg,6,14059,Berlin,Berlin,52.523375,13.288693,2020
Knobelsdorffstr.,2,14059,Berlin,Berlin,52.51363,13.296306,2020
Humbserstraße,24,90763,Fürth,Bayern,49.462914,11.008439,2020
Friedrich-Ebert-Str.,7,48653,Coesfeld,Nordrhein-Westfalen,51.943895,7.174357,2020
Friedrich-Ebert-Str.,7,48653,Coesfeld,Nordrhein-Westfalen,51.943895,7.174357,2020
Dülmener Straße,100,48653,Coesfeld,Nordrhein-Westfalen,51.92891,7.171214,2020
Ziegelstraße,0,14776,Brandenburg,Brandenburg,52.416988,12.559183,2020
Hohenzollernplatz,5,14129,Berlin,Berlin,52.431106,13.195084,2020
Vereinsstraße,0,14770,Brandenburg,Brandenburg,52.410873,12.546294,2020
Carl-Reichstein-Str.,35,14770,Brandenburg,Brandenburg,52.41506,12.504916,2020
Stphanusweg,6,89160,Dornstadt-Bolingen,Baden-Württemberg,,,2020
Industriestr.,29-31,67125,Dannstadt,Rheinland-Pfalz,,,2020
Industriestr.,29-31,67125,Dannstadt,Rheinland-Pfalz,,,2020
Hauptstraße,46,67127,Rödersheim-Gronau,Rheinland-Pfalz,49.430085,8.26563,2020
Am Seegraben,1,3051,Cottbus,Brandenburg,51.717879,14.318019,2020
Sachsendorfer Str.,3,3051,Cottbus,Brandenburg,,,2020
Am Tüskenbach,0,48653,Coesfeld,Nordrhein-Westfalen,51.937406,7.156958,2020
Hohe Lucht,0,48653,Coesfeld,Nordrhein-Westfalen,51.946634,7.166853,2020
Bahnhofstraße,21,76855,Annweiler,Rheinland-Pfalz,48.13726,11.57558,2020
Messplatz,14,76855,Annweiler,Rheinland-Pfalz,49.20345,7.96442,2020
Jaffestr.,0,14055,Berlin,Berlin,52.502128,13.266633,2020
Jaffestr.,0,14055,Berlin,Berlin,52.502092,13.266637,2020
Halenseestraße,51,14055,Berlin,Berlin,52.501791,13.277195,2020
Sophie-Charlotten-Str.,55,14057,Berlin,Berlin,52.509991,13.289279,2020
Bredtschneiderstr.,10,14057,Berlin,Berlin,52.508722,13.27949,2020
Horstweg,9,14059,Berlin,Berlin,52.512447,13.292902,2020
Luitpoldstraße,73,67480,Edenkoben,Rheinland-Pfalz,49.285716,8.138138,2020
Lindenallee,28,14050,Berlin,Berlin,52.510295,13.271764,2020
Gotha-Allee,17,14052,Berlin,Berlin,52.520462,13.258597,2020
Heerstr.,36,14055,Berlin,Berlin,52.508986,13.260657,2020
Im Reff,3,67133,Maxdorf,Rheinland-Pfalz,49.483431,8.306051,2020
Nürnberger Straße,147,90762,Fürth,Bayern,49.46553,11.011273,2020
Otto-Seeling-Promenade,28,90762,Fürth,Bayern,49.471925,10.999597,2020
Schießplatz,16,90762,Fürth,Bayern,49.481361,10.98619,2020
Ottostraße,27,90762,Fürth,Bayern,49.471078,10.98589,2020
Stresemannplatz,15,90763,Fürth,Bayern,49.46513,10.994186,2020
Europaallee,6,90763,Fürth,Bayern,49.452996,11.000636,2020
Staatsstraße,1,67489,Kirrweiler,Rheinland-Pfalz,49.289976,8.14087,2020
Speyererstraße,11b,67373,Dudenhofen,Rheinland-Pfalz,49.316453,8.393269,2020
Südring,4,67240,Bobenheim-Roxheim,Rheinland-Pfalz,49.581583,8.350806,2020
Dannstadt Ost  UFC 2,0,67125,Dannstadt-Schauernheim,Rheinland-Pfalz,49.410201,8.34166,2020
Industriestr.,29-31,67125,Dannstadt,Rheinland-Pfalz,,,2020
Industriestr.,29-31,67125,Dannstadt,Rheinland-Pfalz,,,2020
Gabriele-Münter-Straße,0,67105,Schifferstadt,Rheinland-Pfalz,49.387829,8.384903,2020
Am Alten Dorfplatz,2,54326,Pluwig,Rheinland-Pfalz,49.688286,6.71376,2020
Moselstr.,0,54331,Oberbillig,Rheinland-Pfalz,49.712278,6.503633,2020
In der Weiherwiese,2,56368,Katzenelnbogen,Rheinland-Pfalz,,,2020
Danziger Straße,30,65582,Diez,Rheinland-Pfalz,50.363313,8.014223,2020
Jahnstraße,35,65623,Hahnstätten,Rheinland-Pfalz,50.300174,8.063056,2020
Jakobsgasse,0,67105,Schifferstadt,Rheinland-Pfalz,49.38714,8.374402,2020
Am Sportzentrum,0,67105,Schifferstadt,Rheinland-Pfalz,49.370769,8.372876,2020
Hauptstraße,0,67105,Schifferstadt,Rheinland-Pfalz,49.383587,8.374507,2020
Berenbrock,1,59348,Lüdinghausen,Nordrhein-Westfalen,51.777151,7.439804,2020
Am Bahnhof,1,48727,Billerbeck,Nordrhein-Westfalen,51.981119,7.29733,2020
Am Filzteich,0,8289,Schneeberg,Sachsen,,,2020
Am Filzteich,0,8289,Schneeberg,Sachsen,,,2020
Dülmener Straße,26,48653,Coesfeld,Nordrhein-Westfalen,51.93684,7.167568,2020
Haeselerstr.,28,14050,Berlin,Berlin,52.513952,13.278026,2020
Fredericiastr.,11,14050,Berlin,Berlin,52.510854,13.279237,2020
In den Kreuzfeldern,0,54340,Longuich,Rheinland-Pfalz,49.808203,6.764586,2020
Flugplatz-Tower,0,54343,Föhren,Rheinland-Pfalz,49.863469,6.780589,2020
Aussiedlung Landsknecht,4,56329,St. Goar,Rheinland-Pfalz,50.168594,7.685827,2020
Koblenzer Straße,19,56112,Lahnstein,Rheinland-Pfalz,50.319608,7.598506,2020
Brückenstraße,17,56112,Lahnstein,Rheinland-Pfalz,50.306625,7.605086,2020
Stendaler Straße,14,15234,Frankfurt (Oder),Brandenburg,52.354873,14.527776,2020
Otto-Hahn-Straße,25,15236,Frankfurt (Oder),Brandenburg,52.288313,14.471512,2020
Otto-Hahn-Straße,25,15236,Frankfurt (Oder),Brandenburg,52.288313,14.471512,2020
Bahnhofstraße,1,56355,Nastätten,Rheinland-Pfalz,50.2004,7.855495,2020
Bahnhofstraße,1,56355,Nastätten,Rheinland-Pfalz,,,2020
Nonnendammallee,175,13599,Berlin,Berlin,52.539721,13.233375,2020
Elionoe-Stein-Str.,6,48712,Gescher,Nordrhein-Westfalen,51.955358,7.004089,2020
Dannstadt Ost  UFC 4,0,67125,Dannstadt-Schauernheim,Rheinland-Pfalz,49.410137,8.341664,2020
Dannstadt Ost  UFC 1,0,67125,Dannstadt-Schauernheim,Rheinland-Pfalz,49.410226,8.341656,2020
Dannstadt Ost  UFC 3,0,67125,Dannstadt-Schauernheim,Rheinland-Pfalz,49.410164,8.34166,2020
Am Waldfestplatz,0,67105,Schifferstadt,Rheinland-Pfalz,49.370262,8.383052,2020
Stendaler Straße,8,15234,Frankfurt (Oder),Brandenburg,52.354566,14.53006,2020
Obstallee,28,13593,Berlin,Berlin,52.521456,13.164294,2020
Gutenbergstr.,115,14467,Potsdam,Brandenburg,52.40058,13.04844,2020
Bassinplatz,0,14467,Potsdam,Brandenburg,52.40186,13.06028,2020
Otto-Hahn-Straße,25,15236,Frankfurt (Oder),Brandenburg,52.28879,14.470749,2020
Bleichstraße,1,56130,Bad Ems,Rheinland-Pfalz,50.334635,7.715487,2020
Simmener Str.,6,56291,Wiebelsheim,Rheinland-Pfalz,50.07561,7.635883,2020
Pfalzfeld  UFC 3,0,56291,Pfalzfeld,Rheinland-Pfalz,50.115383,7.598395,2020
Pfalzfeld  UFC 1,0,56291,Pfalzfeld,Rheinland-Pfalz,50.115428,7.598365,2020
Pfalzfeld  UFC 2,0,56291,Pfalzfeld,Rheinland-Pfalz,50.115412,7.598384,2020
Perlengasse,6,56288,Kastellaun,Rheinland-Pfalz,50.072766,7.440709,2020
Haberleithe,0,8309,Eibenstock,Sachsen,,,2020
Schneeberger Straße,11,8340,Schwarzenberg,Sachsen,50.53959,12.779,2020
Heilmannring,55,13627,Berlin,Berlin,52.535122,13.28624,2020
Martin-Opitz-Straße,1-4,15232,Frankfurt (Oder),Brandenburg,52.324794,14.546491,2020
Im Ehrlich,0,56357,Miehlen,Rheinland-Pfalz,50.22887,7.832632,2020
An der Alten Zauche,4a,14478,Potsdam,Brandenburg,52.37482,13.09197,2020
Potsdamer Str.,51-52,14469,Potsdam,Brandenburg,52.419344,13.013914,2020
Kastanienallee,22 B,14471,Potsdam,Brandenburg,52.388,13.02969,2020
Schillerstr.,10,14471,Potsdam,Brandenburg,52.39186,13.03747,2020
Gewerbegebiet,18,54344,Kenn,Rheinland-Pfalz,49.805081,6.7275,2020
Gewerbegebiet,18,54344,Kenn,Rheinland-Pfalz,49.48195,6.43383,2020
Gewerbegebiet,18,54344,Kenn,Rheinland-Pfalz,,,2020
Pastor-Wiegand-Straße,5,56154,Boppard,Rheinland-Pfalz,50.203259,7.489445,2020
Eichengrund Nordrhein-Westfalen BAB 1,BAB 1,59387,Ascheberg,Nordrhein-Westfalen,51.774475,7.639402,2020
Reutleser Weg,15,91058,Erlangen,Bayern,,,2020
Reutleser Weg,15,91058,Erlangen,Bayern,,,2020
Reutleser Weg,15,91058,Erlangen,Bayern,,,2020
Reutleser Weg,15,91058,Erlangen,Bayern,,,2020
Berenbrock,1,59348,Lüdinghausen,Nordrhein-Westfalen,51.777151,7.439804,2020
Mauerstr.,10,13597,Berlin,Berlin,52.535262,13.203113,2020
Moritzstr.,11,13597,Berlin,Berlin,52.539011,13.199348,2020
Mainzer Straße,25,54550,Daun,Rheinland-Pfalz,50.198628,6.820564,2020
Galileistr.,21,14480,Potsdam,Brandenburg,52.37536,13.13233,2020
Neue Bergstraße,6,13585,Berlin,Berlin,52.549457,13.208858,2020
Neue Bergstraße,6,13585,Berlin,Berlin,52.549472,13.209051,2020
Fehrbelliner Strasse,0,13585,Berlin,Berlin,52.553515,13.198465,2020
Michelstadter Weg,85,13587,Berlin,Berlin,52.564857,13.207224,2020
Bitburger Str.,6,54550,Daun,Rheinland-Pfalz,50.19669,6.81398,2020
Seppenrader Straße,17,59348,Lüdinghausen,Nordrhein-Westfalen,,,2020
Seppenrader Straße,54,59348,Lüdinghausen,Nordrhein-Westfalen,,,2020
Zum Rotering,9-11,48683,Ahaus,Nordrhein-Westfalen,,,2020
Industriestraße,15,48683,Ahaus,Nordrhein-Westfalen,52.077903,7.017561,2020
Aubachstraße,77,56567,Neuwied-Niederbieber,Rheinland-Pfalz,50.463861,7.480491,2020
Aubachstr.,88,56567,Neuwied-Niederbieber,Rheinland-Pfalz,50.463137,7.482046,2020
Zeppelinhof,0,56567,Neuwied,Rheinland-Pfalz,50.438731,7.476019,2020
Hugo-Cassierer-Str.,24,13587,Berlin,Berlin,52.557421,13.218402,2020
Friedrich-Engels-Str.,23,14473,Potsdam,Brandenburg,,,2020
Rudolf-Breitscheid-Straße,110,16225,Eberswalde,Brandenburg,52.828025,13.79268,2020
Bahnhofsring,0,16225,Eberswalde,Brandenburg,52.833185,13.79726,2020
Rudolf-Virchow-Straße,19,16225,Eberswalde,Brandenburg,52.838811,13.816662,2020
Michaelisstraße,10,16225,Eberswalde,Brandenburg,52.834265,13.817347,2020
Eisenbahnstraße,4,16225,Eberswalde,Brandenburg,52.834675,13.815724,2020
Karl-Liebknecht-Str.,129,14482,Potsdam,Brandenburg,52.39333,13.09211,2020
Am Buchhorst,34,14478,Potsdam,Brandenburg,52.359371,13.111689,2020
Benzstraße,28,48619,Heek,Nordrhein-Westfalen,52.11411,7.078715,2020
Benzstraße,28,48619,Heek,Nordrhein-Westfalen,52.11411,7.078715,2020
Münsterstr.,55,48624,Schöppingen,Nordrhein-Westfalen,52.102137,7.233223,2020
Düsseldorferstr.,20,48624,Schöppingen,Nordrhein-Westfalen,51.101484,7.235172,2020
Industriestraße,15,48683,Ahaus,Nordrhein-Westfalen,,,2020
Adenauerring,4,48683,Ahaus,Nordrhein-Westfalen,52.074865,6.996345,2020
Lüdinghauser Str.,62,59394,Nordkirchen,Nordrhein-Westfalen,51.742484,7.516693,2020
Hafenstraße,90,56565,Neuwied,Rheinland-Pfalz,50.46726,7.462725,2020
Zeppelinhof,0,56566,Neuwied,Rheinland-Pfalz,50.438731,7.476019,2020
Industriepark Nord,60,53567,Buchholz-Mendt,Rheinland-Pfalz,,,2020
Kamenerstraße,1,53572,Unkel,Rheinland-Pfalz,,,2020
Bundesstraße,42,53573,Unkel,Rheinland-Pfalz,,,2020
Rasthausstr.,10,53577,Neustadt,Rheinland-Pfalz,50.599188,7.433431,2020
Am Pankeborn,5,16321,Bernau,Brandenburg,,,2020
Pankeborn,5,16321,Bernau,Brandenburg,,,2020
Schorfheidestraße / Choriner Straße,16,16227,Eberswalde,Brandenburg,52.833233,13.764353,2020
Paßweg,3,48599,Gronau,Nordrhein-Westfalen,52.179488,7.038765,2020
Enscheder Straße,125,48599,Gronau,Nordrhein-Westfalen,52.210436,7.0261,2020
Parkweg,0,48599,Gronau,Nordrhein-Westfalen,52.213084,7.006024,2020
Schloss,0,46419,Isselburg,Nordrhein-Westfalen,51.844397,6.425282,2020
Damaschkestraße,129a,91056,Erlangen,Bayern,49.587778,10.978441,2020
An den Häuslinger Wegäckern,1,91056,Erlangen,Bayern,49.59288,10.94865,2020
Wüllener Straße,64,48683,Ahaus,Nordrhein-Westfalen,52.07354,6.996402,2020
Augustastraße,27,56564,Neuwied,Rheinland-Pfalz,50.431467,7.47096,2020
Kirchstraße,99,16230,Breydin,Brandenburg,52.754235,13.788236,2020
Parkplatzstraße,2t,91054,Erlangen,Bayern,49.597976,10.999342,2020
Bohlenplatz,12,91054,Erlangen,Bayern,49.597022,11.012217,2020
Theaterplatz,2,91054,Erlangen,Bayern,49.59998,11.00546,2020
Fuchsgarten,4,91054,Erlangen,Bayern,49.60196,11.00067,2020
Berliner Platz,0,48599,Gronau,Nordrhein-Westfalen,52.211823,7.021047,2020
Potsdamer Allee,38,16227,Eberswalde,Brandenburg,52.83161,13.758519,2020
Zum Grenzfließ,2,16227,Eberswalde,Brandenburg,52.832413,13.768444,2020
Brückenstraße,8,16227,Eberswalde,Brandenburg,52.840638,13.734327,2020
Finower Straße,2,16230,Melchow,Brandenburg,52.776172,13.702498,2020
Gewerbepark,0,56743,Mendig,Rheinland-Pfalz,50.382223,7.269511,2020
Kuckucksberg,11,56745,Rieden,Rheinland-Pfalz,,,2020
Jagowstr.,4,13585,Berlin,Berlin,52.546716,13.207649,2020
Mittelstr.,14,13585,Berlin,Berlin,52.548469,13.199897,2020
Schulstraße,1,16248,Lunow,Brandenburg,52.922671,14.11064,2020
Kietz,9,16248,Lunow-Stolzenhagen,Brandenburg,52.948939,14.108532,2020
Flammersfelderstraße,1,53567,Asbach,Rheinland-Pfalz,,,2020
Am Flughafen,1/3/5,12529,Schönefeld,Brandenburg,52.377485,13.541594,2020
Raststätte Moseltal Ost,0,56333,Winningen,Rheinland-Pfalz,50.316578,7.498833,2020
Strümpelstraße,26,91052,Erlangen,Bayern,49.581484,11.010586,2020
Werner-v.-Siemens-Str.,45,91052,Erlangen,Bayern,49.592885,11.014479,2020
Kölner Landstraße,212,52351,Düren,Nordrhein-Westfalen,50.809375,6.506461,2020
Kelberger Strasse,83,56727,Mayen,Rheinland-Pfalz,,,2020
Alter Kirchplatz,901,56637,Plaidt,Rheinland-Pfalz,50.39116,7.391003,2020
Margarete-von-Etzdorf-Straße,1,12529,Schönefeld,Brandenburg,,,2020
Lindenbergerstraße,1,16356,Ahrensfelde,Brandenburg,52.575696,13.575232,2020
Am Bahnhof,2,16356,Werneuchen,Brandenburg,52.637065,13.737566,2020
Kirchstr.,15-17,12529,Schönefeld,Brandenburg,52.38427,13.51035,2020
Brunsbütteler Damm,40,13581,Berlin,Berlin,52.534166,13.192741,2020
Dorfstraße,33,16348,Marienwerder OT Ruhlsdorf,Brandenburg,52.826131,13.55974,2020
Bahnhofsplatz,1,16348,Wandlitz,Brandenburg,52.756007,13.473018,2020
Kirchstr.,2,56645,Nickenich,Rheinland-Pfalz,50.413378,7.325941,2020
Kurt-Schumacher-Str.,16,91052,Erlangen,Bayern,,,2020
Rosenbergstraße,0,54550,Daun,Rheinland-Pfalz,50.196868,6.828974,2020
Margarete-von-Etzdorf-Straße,1,12529,Schönefeld,Brandenburg,,,2020
Margarete-von-Etzdorf-Straße,1,12529,Schönefeld,Brandenburg,,,2020
Margarete-von-Etzdorf-Straße,1,12529,Schönefeld,Brandenburg,,,2020
Margarete-von-Etzdorf-Straße,1,12529,Schönefeld,Brandenburg,,,2020
Nürnberger Straße,19,95448,Bayreuth,Bayern,,,2020
Senftenberger Str.,1,2991,Lauta,Sachsen,51.46084,14.09785,2020
Neustadter Strasse,22,96450,Coburg,Bayern,50.271649,10.969435,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,50.41874,7.41781,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,50.41874,7.41781,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,50.41874,7.41781,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,,,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,,,2020
Am weißen Haus,9,56626,Andernach,Rheinland-Pfalz,,,2020
Holzhauser Str.,168,13509,Berlin,Berlin,52.586677,13.316412,2020
Am Flughafen,1/3/5,12529,Schönefeld,Brandenburg,52.377485,13.541594,2020
Schacksdorfer Str.,2,3238,Finsterwalde,Brandenburg,51.624501,13.717049,2020
Mainzer Str.,25,54550,Daun,Rheinland-Pfalz,50.199006,6.821203,2020
Konrad-Zuse-Str.,3,54552,Daun-Nerdlen,Rheinland-Pfalz,50.245412,6.841274,2020
D'Esterstraße,13,56179,Vallendar,Rheinland-Pfalz,50.40106,7.614013,2020
Waldstraße,3b,55425,Waldalgesheim,Rheinland-Pfalz,49.951356,7.828854,2020
Frankfurter Straße,82,15907,Lübben (Spreewald),Brandenburg,51.94885,13.91731,2020
Wüppings Weide,2,46395,Bocholt,Nordrhein-Westfalen,,,2020
Schlavenhorst,105,46395,Bocholt,Nordrhein-Westfalen,,,2020
Hochfeldstraße,80,46395,Bocholt,Nordrhein-Westfalen,,,2020
Am Heizhaus,19,9405,Zschopau,Sachsen,50.756082,13.073106,2020
Schollstraße,8,46397,Bocholt,Nordrhein-Westfalen,,,2020
Stockheimer Weg,1,52372,Kreuzau,Nordrhein-Westfalen,50.751429,6.488292,2020
Strohnerstr.,0,54558,Gillenfeld,Rheinland-Pfalz,50.12681,6.905669,2020
Hauptstraße,33,54558,Strohn,Rheinland-Pfalz,50.110135,6.92176,2020
Petersplatz,0,56294,Münstermaifeld,Rheinland-Pfalz,50.247912,7.36154,2020
In den Wiesen,0,56294,Wierschem,Rheinland-Pfalz,50.225832,7.347458,2020
Raderstraße,15b,54568,Gerolstein,Rheinland-Pfalz,,,2020
Siemensring,5-9,14641,Nauen,Brandenburg,52.599519,12.896297,2020
Heideweg,3,4932,Röderland,Brandenburg,,,2020
Nonnengasse,0,15926,Luckau,Brandenburg,51.853221,13.717314,2020
Namslaustr.,2,13507,Berlin,Berlin,52.578759,13.292492,2020
Schillerstr.,41,4910,Elsterwerda,Brandenburg,51.464114,13.525832,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82173,6.612886,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82174,6.612951,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82174,6.612958,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82176,6.613023,2020
Dingdenerstraße,199,46395,Bocholt,Nordrhein-Westfalen,51.806149,6.610818,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82176,6.613033,2020
Bahnhofstraße,4 A,46359,Heiden,Nordrhein-Westfalen,51.82547,6.931146,2020
Bahnhofstraße,4 A,46359,Heiden,Nordrhein-Westfalen,51.825453,6.9311,2020
Richard-Sorge-Str.,30 - 32,15745,Wildau,Brandenburg,,,2020
Tile-Brügge-Weg,33-37,13509,Berlin,Berlin,52.591615,13.292612,2020
Siemensring,5-9,14641,Nauen,Brandenburg,52.599642,12.896361,2020
Siemensring,5-9,14641,Nauen,Brandenburg,52.599601,12.896343,2020
Siemensring,5-9,14641,Nauen,Brandenburg,52.599561,12.896317,2020
Enge Gasse,0,99830,Treffurt,Thüringen,,,2020
Stockheimer Weg,1,52372,Kreuzau,Nordrhein-Westfalen,,,2020
Am vorderen Steinchen,4,52379,Langerwehe,Nordrhein-Westfalen,50.81718,6.37524,2020
Martinusstr.,4,52382,Niederzier,Nordrhein-Westfalen,50.865973,6.471297,2020
Valencienner Strasse,122,52355,Düren,Nordrhein-Westfalen,,,2020
Bahnstr.,13-15,52355,Düren,Nordrhein-Westfalen,,,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82171,6.612804,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82171,6.612811,2020
Schaffeldstraße,2,46395,Bocholt,Nordrhein-Westfalen,51.82173,6.61288,2020
Kirchstr.,1,89198,Westerstetten,Baden-Württemberg,48.51919,9.954191,2020
Lautertalstraße,5,89584,Lauterach,Baden-Württemberg,48.253882,9.583864,2020
Lindenallee,15,99428,Weimar-Legefeld,Thüringen,,,2020
Raderstraße,15b,54568,Gerolstein,Rheinland-Pfalz,50.22277,6.659546,2020
Kirchstraße,1,89619,Unterstadion,Baden-Württemberg,,,2020
Adolf-Pirrung-Str.,6-8,88400,Biberach an der Riß,Baden-Württemberg,48.101496,9.791743,2020
Rollingstr.,15,88400,Biberach,Baden-Württemberg,48.094534,9.793076,2020
Rollingstr.,15,88400,Biberach,Baden-Württemberg,48.094534,9.793076,2020
Puschkin-Allee,5,15562,Rüdersdorf bei Berlin,Brandenburg,,,2020
Frankfurter Chaussee,37,15370,Vogelsdorf,Brandenburg,52.500327,13.735027,2020
Frankfurter Chaussee,51,15370,Vogelsdorf,Brandenburg,52.49684,13.748289,2020
Mahlsdorferstr.,82,15366,Berlin Hönow,Brandenburg,52.540712,13.638088,2020
