Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Uferstraße,6,66987,Thaleischweiler-Fröschen,Rheinland-Pfalz,49.26174,7.5785,2022
Äußermühlstraße,79,66994,Dahn,Rheinland-Pfalz,,,2022
Lachenweg,13,99518,Bad Sulza,Thüringen,,,2022
Dorfanger,12,99444,Blankenhain,Thüringen,,,2022
Äußere Leipziger Str.,82,4435,Schkeuditz,Sachsen,51.386573,12.252436,2022
Äußere Leipziger Str.,82,4435,Schkeuditz,Sachsen,51.386573,12.252436,2022
An der Autobahn,1,4435,Schkeuditz,Sachsen,51.401625,12.181591,2022
An der Autobahn,1,4435,Schkeuditz,Sachsen,51.40156,12.181634,2022
An der Autobahn,1,4435,Schkeuditz,Sachsen,51.401527,12.181643,2022
Bierweg,6,4435,Schkeuditz,Sachsen,51.399168,12.191227,2022
Auf dem Strautberg,13,37124,Rosdorf,Niedersachsen,,,2022
Göttinger Landstr.,14b,37434,Gieboldehausen,Niedersachsen,,,2022
Schulstraße,24,37434,Gieboldehausen,Niedersachsen,,,2022
Schulstraße,24,37434,Gieboldehausen,Niedersachsen,,,2022
Marsfelderbergstr.,1,37434,Gieboldehausen,Niedersachsen,,,2022
Marsfelderbergstr.,1,37434,Gieboldehausen,Niedersachsen,,,2022
Am Pfarrgarten ,23,89143,Blaubeuren,Baden-Württemberg,,,2022
Ehinger Straße,0,89155,Erbach,Baden-Württemberg,48.32916,9.89644,2022
Bahnhofstraße,3,89155,Erbach,Baden-Württemberg,48.325227,9.893881,2022
Mittelstraße,21,89155,Erbach-Ersingen,Baden-Württemberg,48.292535,9.854574,2022
Hauptstraße,15,89155,Erbach-Bach,Baden-Württemberg,48.330122,9.853781,2022
Ortsstraße,3,89155,Erbach - Ringingen,Baden-Württemberg,48.343776,9.813653,2022
Kirchenberg,1,89155,Donaurieden Erbach,Baden-Württemberg,48.31389,9.86102,2022
Weinstraße,0,76889,Klingenmünster,Rheinland-Pfalz,49.148311,8.015459,2022
Denkmalstraße,5,66500,Hornbach,Rheinland-Pfalz,49.190866,7.372237,2022
Benzstraße,3,89129,Langenau,Baden-Württemberg,48.49975,10.13395,2022
Aralallee,1,99441,Mellingen,Thüringen,50.93467,11.389635,2022
Aralallee,1,99441,Mellingen,Thüringen,50.93467,11.389635,2022
Dorfstrasse,56,89143,Blaubeuren,Baden-Württemberg,,,2022
Hessenhöfe,33,89143,Blaubeuren,Baden-Württemberg,48.432935,9.772928,2022
Dorfstr.,101,99510,Obertrebra,Thüringen,51.06077,11.56556,2022
Sterngasse,6,88481,Balzheim,Baden-Württemberg,48.179959,10.076977,2022
Daimlerstraße,8,67141,Neuhofen,Rheinland-Pfalz,,,2022
Schulstraße Ecke Lindenstraße,0,67165,Waldsee,Rheinland-Pfalz,49.393216,8.438429,2022
Frankenstrasse,16,67166,Otterstadt,Rheinland-Pfalz,,,2022
Burg Ramstein,1,54306,Kordel,Rheinland-Pfalz,,,2022
Burg Ramstein,1,54306,Kordel,Rheinland-Pfalz,,,2022
Burg Ramstein,1,54306,Kordel,Rheinland-Pfalz,,,2022
Burg Ramstein,1,54306,Kordel,Rheinland-Pfalz,,,2022
Rotenbergstrasse,15,54313,Zemmer,Rheinland-Pfalz,,,2022
Rotenbergstrasse,15,54313,Zimmer,Rheinland-Pfalz,,,2022
Frankenthalerstraße,0,67258,Hessheim,Rheinland-Pfalz,49.543944,8.314352,2022
Bergstrasse,14,67258,Heßheim,Rheinland-Pfalz,49.54317,8.30202,2022
Bergstrasse,14,67258,Hessheim,Rheinland-Pfalz,,,2022
In den Moltersgärten,0,67259,Großniedesheim,Rheinland-Pfalz,49.576715,8.316149,2022
Berghäuserstr.,0,67354,Römerberg,Rheinland-Pfalz,49.294402,8.410423,2022
Viehtriftstraße,106,67354,Römerberg,Rheinland-Pfalz,49.27926,8.40488,2022
Albrecht-Dürer-Straße,5,67373,Dudenhofen,Rheinland-Pfalz,49.320485,8.385512,2022
"Grunewald,An der A115",0,14129,Berlin,Berlin,52.433917,13.19174,2022
"Grunewald,An der A115",0,14129,Berlin,Berlin,52.43394,13.191773,2022
"Grunewald,An der A115",0,14129,Berlin,Berlin,52.433975,13.191815,2022
Landauer Str.,8,67117,Limburgerhof,Rheinland-Pfalz,49.425713,8.395101,2022
Landauer Str.,8,67117,Limburgerhof,Rheinland-Pfalz,49.425713,8.395101,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410484,8.398511,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410466,8.398541,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410432,8.398566,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410401,8.398597,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410385,8.398615,2022
Speyerer Str.,2,67117,Limburgerhof,Rheinland-Pfalz,49.410346,8.398644,2022
Rotenbergstr.,19,54313,Zemmer,Rheinland-Pfalz,49.898198,6.703415,2022
Rotenbergstr.,19,54313,Zemmer,Rheinland-Pfalz,49.898198,6.703415,2022
Rotenbergstr.,19,54313,Zemmer,Rheinland-Pfalz,49.898198,6.703415,2022
Im Reff,9,67133,Maxdorf,Rheinland-Pfalz,49.482892,8.307359,2022
Am Weisenheimer Weg,3-5,67136,Fußgönheim,Rheinland-Pfalz,49.467667,8.286278,2022
Im Brühl,4z,54343,Föhren,Rheinland-Pfalz,49.85635,6.762281,2022
Im Brühl,4z,54343,Föhren,Rheinland-Pfalz,49.85635,6.762281,2022
Insel Silberau,20,56130,Bad Ems,Rheinland-Pfalz,50.33237,7.709085,2022
Im Rosenacker,10,56338,Braubach,Rheinland-Pfalz,50.284131,7.632096,2022
Dammstraße,3z,54340,Klüsserath,Rheinland-Pfalz,49.842899,6.850081,2022
Rheinstraße,10,56368,Katzenelnbogen,Rheinland-Pfalz,,,2022
Paul-Morant-Allee,10,65558,Burgschwalbach,Rheinland-Pfalz,,,2022
Königin-Luise-Str.,52,14195,Berlin,Berlin,,,2022
