category,2015,2016,2017,2018,2019,2020,2021,2022,2023
Internal Combustion Engine,5787530,5681000,6170883,6054103,6222115,5136011,4502065,2872116,4249350
Hybrid,3020,1794000,3275,4005,55885,51468,113450,1378112,223650
Electric Vehicles,32450,119600,55842,186893,0,140521,281485,312772,394000
