Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Hausener Straße,13,89129,Setzingen,Baden-Württemberg,48.538896,10.129616,2019
Am Brunnen,11,89143,Blaubeuren - Asch,Baden-Württemberg,48.437012,9.820351,2019
Obere Str.,4,89143,Blaubeuren,Baden-Württemberg,48.369369,9.808528,2019
Helfensteinerstraße,12,89143,Blaubeuren-Gerhausen,Baden-Württemberg,48.398975,9.805573,2019
Flurstr.,9,89143,Blaubeuren,Baden-Württemberg,48.418242,9.748788,2019
Flurstück,313,89129,Langenau/Seligweiler,Baden-Württemberg,48.456817,10.029649,2019
Flurstück,313,89129,Langenau/Seligweiler,Baden-Württemberg,48.456817,10.029649,2019
Flurstück,313,89129,Langenau/Seligweiler,Baden-Württemberg,48.456817,10.029649,2019
Hauptstraße,91c,73340,Amstetten,Baden-Württemberg,48.578534,9.87484,2019
Parkplatz Campingplatz,0,72589,Westerheim,Baden-Württemberg,48.5105,9.609,2019
Fischerhüttenstr.,118,14163,Berlin,Berlin,52.446744,13.230782,2019
Thanner Pfad,3,14195,Berlin,Berlin,52.443403,13.280166,2019
Schulstraße,0,76846,Hauenstein,Rheinland-Pfalz,49.191417,7.855028,2019
Eybergstraße,1,66994,Dahn,Rheinland-Pfalz,49.143722,7.770667,2019
Schulstraße,8,89129,Nerenstetten,Baden-Württemberg,48.529838,10.098277,2019
Sankt-Martin-Straße,12,49509,Recke - Obersteinbeck,Nordrhein-Westfalen,52.346573,7.656267,2019
Dorfstraße,12,49509,Recke - Steinbeck,Nordrhein-Westfalen,52.348828,7.694099,2019
Brookweg,5,49509,Recke,Nordrhein-Westfalen,52.36906,7.712791,2019
Brookweg,11,49509,Recke,Nordrhein-Westfalen,52.368106,7.715674,2019
Hauptstr.,28,49509,Recke,Nordrhein-Westfalen,52.367814,7.717013,2019
Westfalenplatz,1,49504,Lotte,Nordrhein-Westfalen,52.307079,7.988227,2019
Berliner Platz,1,49504,Lotte,Nordrhein-Westfalen,52.305068,7.98018,2019
Achmerstraße,31,49504,Lotte,Nordrhein-Westfalen,52.338703,7.944518,2019
Bahnhofstraße,17,49504,Lotte,Nordrhein-Westfalen,52.275924,7.916485,2019
Alois-Schießl-Platz,2,85435,Erding,Bayern,48.30888,11.90602,2019
Heuweg,7,26389,Wilhelmshaven,Niedersachsen,53.525975,8.060066,2019
Heuweg,7,26389,Wilhelmshaven,Niedersachsen,53.526012,8.060113,2019
Mayerplatz,1,93349,Mindelstetten,Bayern,,,2019
Tuttlinger Str.,63,78628,Rottweil,Baden-Württemberg,48.151003,8.640761,2019
Accumer Landstr.,50a,26389,Wilhelmshaven,Niedersachsen,53.537014,8.045288,2019
Am Friedenshain,2,8499,Mylau,Sachsen,50.617954,12.267314,2019
Attinger Weg,9,84416,Taufkirchen (Vils),Bayern,48.34456,12.12865,2019
Bahnhofstraße,1,74927,Eschelbronn,Baden-Württemberg,49.320104,8.868043,2019
Friedrich-Hecker-Straße,1,74918,Angelbachtal,Baden-Württemberg,49.234916,8.77503,2019
Friedhofstr.,4,49536,Lienen,Nordrhein-Westfalen,,,2019
Alwin-Klein-Str.,11,49525,Lengerich,Nordrhein-Westfalen,,,2019
Wielandstr.,19,49525,Lengerich,Nordrhein-Westfalen,,,2019
Am Eikel,22,38259,Salzgitter,Niedersachsen,52.05318,10.370997,2019
Petershagener Straße,22,38259,Salzgitter,Niedersachsen,52.048953,10.371153,2019
Parkallee,3,38259,Salzgitter,Niedersachsen,52.038073,10.381868,2019
König-Christian-Straße,0,24576,Bad Bramstedt,Schleswig-Holstein,,,2019
Bajuwarenstraße,9,85435,Erding,Bayern,48.29469,11.89446,2019
Taufkirchener Straße,24,85435,Erding,Bayern,48.30439,11.92502,2019
Dr.-Ulrich-Weg,4,85435,Erding,Bayern,48.30331,11.90523,2019
Sigwolfstraße,50,85435,Erding,Bayern,48.29792,11.89177,2019
Josef-Martin-Bauer-Straße,18,84405,Dorfen,Bayern,48.27996,12.14751,2019
Heinrich-Nordhoff-Str.,119 - 123,38440,Wolfsburg,Niedersachsen,52.425946,10.768612,2019
Heinrich-Nordhoff-Str.,119 - 123,38440,Wolfsburg,Niedersachsen,52.425946,10.768612,2019
Heinrich-Nordhoff-Str.,119 - 123,38440,Wolfsburg,Niedersachsen,52.425946,10.768612,2019
Münchener Straße,134,85435,Erding,Bayern,48.29539,11.90016,2019
