brand,2015,2016,2017,2018,2019,2020,2021,2022,2023
audi,183085,191891,157084,112554,81889,43473,16660,20699,23721
bmw,174088,171585,150845,128376,135145,74370,22053,15797,11919
mercedes,169958,174630,172935,151851,162105,132254,79950,74434,69553
toyota,13257,8887,4458,4014,4049,4031,3309,6040,4769
volkswagen,373671,338579,287961,259726,307375,193463,163112,155019,168924
