category,2015,2016,2017,2018,2019,2020,2021,2022,2023
Internal Combustion Engine,1779304,1847904,1861484,1797499,1802291,1574845,1533032,1549564,1772052
Hybrid,23942,19834,16621,12531,16714,66364,91427,0,0
Electric Vehicles,0,0,0,0,26568,51564,56053,64667,123188
