Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
An der Trift,65,99448,Nauendorf,Thüringen,50.89523,11.17951,2023
Robert-Koch-Straße,10,99510,Apolda,Thüringen,51.02894,11.51713,2023
Bahnhofstraße,86,76846,Hauenstein,Rheinland-Pfalz,,,2023
Kiesgräble,2,89129,Langenau,Baden-Württemberg,48.49339,10.10783,2023
"Fachmarktzentrum, Gewerbegebiet O 5, 66987 Thaleischweiler",0,66987,Thaleischweiler-Fröschen,Rheinland-Pfalz,49.266592,7.593163,2023
Kaltenbach,B 10,66999,Hinterweidenthal,Rheinland-Pfalz,49.200355,7.748052,2023
Anhaltiner Straße,9,14163,Berlin,Berlin,52.43078,13.255005,2023
Anhaltiner Straße,12,14163,Berlin,Berlin,52.430527,13.253131,2023
Anhaltiner Straße,4,14163,Berlin,Berlin,52.430479,13.252771,2023
Hohentwielsteig,0,14163,Berlin,Berlin,52.430837,13.243843,2023
Hohentwielsteig,0,14163,Berlin,Berlin,52.431135,13.243199,2023
Hohentwielsteig,0,14163,Berlin,Berlin,52.431405,13.242564,2023
Beuckestraße,1,14163,Berlin,Berlin,52.431818,13.255373,2023
Beuckestraße,5,14163,Berlin,Berlin,52.431692,13.254452,2023
Beuckestraße,11,14163,Berlin,Berlin,52.431182,13.250692,2023
Beuckestraße,19,14163,Berlin,Berlin,52.430942,13.249538,2023
Beuckestraße,17,14163,Berlin,Berlin,52.430843,13.249203,2023
Idsteiner Straße,20,14163,Berlin,Berlin,52.428885,13.242649,2023
Idsteiner Straße,26,14163,Berlin,Berlin,52.429441,13.242445,2023
Idsteiner Straße,28,14163,Berlin,Berlin,52.42972,13.24234,2023
Towerstraße,2,4435,Schkeuditz,Sachsen,51.42337,12.236854,2023
Towerstraße,2,4435,Schkeuditz,Sachsen,51.423394,12.236719,2023
Badstraße,5,91575,Windsbach,Bayern,49.247423,10.84255,2023
Am Kirchweihplatz,1,91578,Leutershausen,Bayern,49.299294,10.410582,2023
Färbereistrasse,2b,91578,Leutershausen,Bayern,49.29832,10.42529,2023
Am Markt,5,91583,Schillingsfürst,Bayern,49.28669,10.260165,2023
Chamberetallee,22,91583,Schillingsfürst,Bayern,49.282133,10.25911,2023
Ansbacher Straße,44,91589,Aurach,Bayern,49.252505,10.435351,2023
Ansbacher Straße,44,91589,Aurach,Bayern,49.252569,10.435556,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
am Ostergraben,6,4435,Schkeuditz,Sachsen,51.421351,12.308084,2023
Reckengasse,1,37412,Herzberg am Harz,Niedersachsen,51.65657,10.34106,2023
Reckengasse,1,37412,Herzberg am Harz,Niedersachsen,51.65657,10.34103,2023
Sieberstraße,22,37412,Herzberg am Harz,Niedersachsen,51.65671,10.34141,2023
Sieberstraße,22,37412,Herzberg am Harz,Niedersachsen,51.65669,10.34148,2023
Rischenweg,1,37124,Rosdorf,Niedersachsen,51.510537,9.908577,2023
Rischenweg,1,37124,Rosdorf,Niedersachsen,51.510537,9.908577,2023
Varmisser Str.,5,37127,Dransfeld,Niedersachsen,,,2023
Göttinger Landstr.,14,37434,Gieboldehausen,Niedersachsen,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Am Eichelberg,1,91567,Herrieden,Bayern,,,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Ohmbergstraße,4,37115,Duderstadt,Niedersachsen,,,2023
Kolpingstraße,4-6,37115,Duderstadt,Niedersachsen,,,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Leutershausener Straße,2,91589,Aurach,Bayern,49.25009,10.42442,2023
Raststätte Frankenhöhe Nord,0,91589,Aurach,Bayern,49.242797,10.353253,2023
Raststätte Frankenhöhe Süd,0,91589,Aurach,Bayern,49.241,10.355907,2023
Vehlberger Kirchweg,25,91589,Aurach - Vehlberg,Bayern,49.23445,10.34074,2023
Bornbreite,2,37085,Göttingen,Niedersachsen,51.511449,9.968476,2023
Bergstraße,13,37441,Bad Sachsa / Steina,Niedersachsen,,,2023
Talstraße,27,37441,Bad Sachsa,Niedersachsen,,,2023
Hauptstr.,151-153,37520,Osterrode,Niedersachsen,51.736142,10.269927,2023
