2015,2016,2017,2018,2019,2020,2021,2022,2023,company,image
4.2,4.23,4.46,4.75,4.98,5.27,3.9,3.62,3.14,Mercedes-Benz,./data/mercedes-logo.png
2.39,2.3,2.56,2.57,2.75,3.14,3.2,2.86,2.9,Audi,./data/audi-logo.png
3.31,3.34,3.36,3.53,3.78,4.31,4.79,4.25,3.91,BMW,./data/bmw-logo.png
13.19,14.35,14.15,15.03,15.98,17.68,19.96,18.56,16.23,Toyota,./data/toyota-logo.png
8.53,8.46,8.44,8.79,9.38,9.83,9.32,8.14,7.5,Volkswagen,./data/volkswagen-logo.png
